[2026-05-26 12:35:24] ID: INV-001 | Transition: RISK_ANALYSIS -> APPROVED | Decision: AUTO_APPROVED | Reason: Risk level acceptable
[2026-05-26 12:42:20] ID: INV-003 | Transition: RISK_ANALYSIS -> APPROVED | Decision: AUTO_APPROVED | Reason: Risk level acceptable
[2026-05-26 12:42:20] ID: INV-002 | Transition: RISK_ANALYSIS -> ESCALATED | Decision: MANUAL_REVIEW | Reason: Risk threshold exceeded
[2026-05-26 12:42:20] ID:  | Transition: VALIDATING -> ESCALATED | Decision: REJECTED | Reason: Validation Errors: MISSING_INVOICE_ID, MISSING_VENDOR, INVALID_AMOUNT
[2026-05-26 12:50:12] ID: INV-003 | Transition: RISK_ANALYSIS -> APPROVED | Decision: AUTO_APPROVED | Reason: Risk level acceptable
[2026-05-26 12:50:12] ID: INV-002 | Transition: RISK_ANALYSIS -> ESCALATED | Decision: MANUAL_REVIEW | Reason: Risk threshold exceeded
[2026-05-26 12:50:12] ID:  | Transition: VALIDATING -> ESCALATED | Decision: REJECTED | Reason: Validation Errors: MISSING_INVOICE_ID, MISSING_VENDOR, INVALID_AMOUNT
[2026-05-26 12:55:07] ID: INV-003 | Transition: RISK_ANALYSIS -> APPROVED | Decision: AUTO_APPROVED | Reason: Risk level acceptable
[2026-05-26 12:55:07] ID: INV-002 | Transition: RISK_ANALYSIS -> ESCALATED | Decision: MANUAL_REVIEW | Reason: Risk threshold exceeded
[2026-05-26 12:55:07] ID:  | Transition: VALIDATING -> ESCALATED | Decision: REJECTED | Reason: Validation Errors: MISSING_INVOICE_ID, MISSING_VENDOR, INVALID_AMOUNT
[2026-05-26 13:02:10] ID: INV-003 | Transition: RISK_ANALYSIS -> APPROVED | Decision: AUTO_APPROVED | Reason: Risk level acceptable
[2026-05-26 13:02:10] ID: INV-002 | Transition: RISK_ANALYSIS -> ESCALATED | Decision: MANUAL_REVIEW | Reason: Risk threshold exceeded
[2026-05-26 13:02:10] ID:  | Transition: VALIDATING -> ESCALATED | Decision: REJECTED | Reason: Validation Errors: MISSING_INVOICE_ID, MISSING_VENDOR, INVALID_AMOUNT
[2026-05-26 14:32:48] ID: INV-003 | Transition: RISK_ANALYSIS -> APPROVED | Decision: AUTO_APPROVED | Reason: Risk level acceptable
[2026-05-26 14:32:48] ID: INV-002 | Transition: RISK_ANALYSIS -> ESCALATED | Decision: MANUAL_REVIEW | Reason: Risk threshold exceeded
[2026-05-26 14:32:48] ID:  | Transition: VALIDATING -> ESCALATED | Decision: REJECTED | Reason: Validation Errors: MISSING_INVOICE_ID, MISSING_VENDOR, INVALID_AMOUNT
